C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
201907;W96-2;60;13242;57697
201907;W96-2;61;3932;22584
201907;W96-2;86;37632;253344
201907;W96-2;87;7954;65052
201907;W96-3;1;128330;270617
201907;W96-3;2;102303;203575
201907;W96-3;3;34665;74987
201907;W96-3;4;3334;12661
201907;W96-3;70;23930;59106
201907;W96-3;81;3430;12056
201907;W96-3;71;1096;22742
201907;W96-3;76;3678;58591
201907;W96-3;83;3891;4538
201907;W96-3;84;16152;63466
201907;W96-3;60;15280;39951
201907;W96-3;61;8915;25951
201907;W96-3;86;5795;24721
201907;W96-3;87;3491;15253
201907;W96-4;1;122846;282356
201907;W96-4;2;99285;214774
201907;W96-4;3;51029;123954
201907;W96-4;4;8430;38947
201907;W96-4;70;37862;116074
201907;W96-4;81;10279;27221
201907;W96-4;73;2963;16477
201907;W96-4;71;3015;62335
201907;W96-4;76;2688;27501
201907;W96-4;83;8624;10884
201907;W96-4;84;15816;56273
201907;W96-4;60;14267;47194
201907;W96-4;61;4972;21796
201907;W96-4;86;15748;65813
201907;W96-4;87;6069;38126
201907;W96-5;1;325750;1110724
201907;W96-5;2;243189;714090
201907;W96-5;3;58834;139631
201907;W96-5;4;77856;445019
201907;W96-5;70;74526;266799
201907;W96-5;81;16915;41315
201907;W96-5;73;23609;146776
201907;W96-5;71;1099;27513
201907;W96-5;76;1859;28822
201907;W96-5;83;10687;24435
201907;W96-5;84;19361;59963
201907;W96-5;60;20368;81065
201907;W96-5;61;10923;60293
201907;W96-5;86;64343;379226
201907;W96-5;87;20713;148548
201907;W96-6;1;145816;437614
201907;W96-6;2;136695;371082
201907;W96-6;3;28963;75704
201907;W96-6;4;29676;148187
201907;W96-6;70;37958;113966
201907;W96-6;81;10383;27662
201907;W96-6;73;2053;13227
201907;W96-6;71;1036;23175
201907;W96-6;76;2366;30449
201907;W96-6;83;13400;17754
201907;W96-6;84;10473;44149
201907;W96-6;60;17187;58659
201907;W96-6;61;11706;43175
201907;W96-6;86;20761;118402
201907;W96-6;87;7146;41681
201907;W96-7;1;459752;1797099
201907;W96-7;2;282392;910984
201907;W96-7;3;168041;469737
201907;W96-7;4;95282;553547
201907;W96-7;70;109052;438682
201907;W96-7;81;11525;33977
201907;W96-7;73;3689;18760
201907;W96-7;71;192;3143
201907;W96-7;76;362;3800
201907;W96-7;83;107856;138112
201907;W96-7;84;17678;59640
201907;W96-7;60;32208;140751
201907;W96-7;61;11113;62048
201907;W96-7;86;123715;826942
201907;W96-7;87;23878;176304
201907;W96-8;1;85747;256955
201907;W96-8;2;52208;170243
201907;W96-8;3;22325;61600
201907;W96-8;4;14215;89700
201907;W96-8;70;23566;87341
201907;W96-8;81;4544;12004
201907;W96-8;73;2034;9045
201907;W96-8;76;80;177
201907;W96-8;83;19305;21577
201907;W96-8;84;16361;94215
